Gene	RNA.Macrophages	RNA.DC1	RNA.DC2	RNA.Inflammatory.Monocytes	RNA.CD69..Mast	RNA.CD69..Mast.1	RNA.Cycling.Monocytes	RNA.NKs	RNA.ILCs	RNA.CD4..Activated.Fos.hi	RNA.CD4..Activated.Fos.lo	RNA.CD4..Memory	RNA.Tregs	RNA.CD4..PD1.	RNA.CD8..IELs	RNA.CD8..LP	RNA.CD8..IL17.	RNA.MT.hi	RNA.Cycling.T	RNA.Plasma	RNA.Follicular	RNA.GC	RNA.Cycling.B
FTSJ3	0.459038925	0.193185932	0.146745468	0.118073867	0.422197471	0.916623555	0.29928431	0.275072443	0.24249174	0.36315058	0.289294894	0.304276446	0.348733192	0.298073224	0.324659291	0.346670942	0.418057142	0.5590373	0.239732086	0.058704977	0.29352452	0.41837051	0.282650921
FTX	0.072566128	0.052457534	0.142932437	0.066745388	0.250285505	0.341003785	0.009556128	0.477099558	0.377865346	0.213239096	0.269313479	0.482042905	0.411001298	0.160838597	0.292033075	0.260705871	0.159024311	0.517246988	0.075333192	0.06197224	0.227212168	0.065906289	0.008947654
FUBP1	0.491461567	0.261536196	0.418845797	0.48908236	2.747754961	0.592711261	0.510616941	1.035562652	1.827904514	0.940864276	0.894752027	1.043449897	1.313075965	1.498153074	1.126548071	1.332776536	1.204973366	2.131046315	1.216682569	0.225395311	1.120016987	1.548372667	1.207375507
FUBP3	0.254515135	0.13434813	0.160268852	0.468217484	0.563733368	0.3908072	0.151391287	0.651771885	0.396191627	0.296849815	0.43338164	0.436405682	0.52830265	0.481644386	0.20507486	0.309294006	0.448508687	0.507134523	0.12441171	0.107413093	0.272317632	0.29866312	0.273275603
FUCA1	55.96138121	5.449862047	0.968595935	1.307024557	0.986121289	0.589137507	35.32919358	1.031991162	1.068940369	0.314837196	0.372031896	0.39940054	0.455286457	0.167329933	1.234460798	0.437704038	0.693683015	0.612139385	0.538831301	0.210225728	0.259510062	0.549992194	0.589708934
FUCA2	1.934668959	0.927211254	1.197815956	0.958228126	2.204199381	2.355201923	1.918411656	2.240293887	2.499567768	0.485200666	0.411278461	0.493339558	0.817549774	0.860516855	0.757732588	0.425127401	0.335248434	0.380388645	0.478774581	0.651707039	0.315064401	0.298249991	0.674534316
FUK	0.036564557	0.013108603	0.047035133	0.185158603	0.027290932	0.039849856	0.017950302	0.010506069	0.369130228	0.029525602	0.098180597	0.115566281	0.066036483	0.051801056	0.084189052	0.071394628	0.128733265	0.213036833	0.099388586	0.013693171	0.041083869	0.03497378	0.180586211
FUNDC1	0.739071929	0.325052402	0.751746619	0.377655323	1.285173174	1.010060148	1.093458802	0.601069802	0.571354009	0.61789018	0.494157899	0.816178584	0.844163468	0.428914141	0.527731425	0.555468177	0.796160138	0.274295126	0.422444744	0.158224949	0.763332341	0.976932668	0.617865957
FUNDC2	2.41910696	1.017012732	1.519087913	2.085193382	2.948655944	3.203990632	3.015800464	3.023529465	1.882945546	2.174177005	2.132173946	2.343773185	2.652642143	2.13985161	2.588522996	2.293949997	2.537620957	1.281177403	2.222253155	0.67997234	1.904969942	1.612103972	1.12213856
FUOM	3.525616469	1.798873932	2.101585993	2.648464166	0.182367063	1.506782703	1.893107697	0.982856088	0.187094061	0.699158038	0.472863343	0.462660548	0.348494271	0.295205161	0.875400855	0.727576402	0.471679132	0.497446387	0.912504989	0.28103199	0.885677538	0.612772891	0.450392933
FURIN	0.321513637	0	0.106292433	0.951593083	0.124685404	0.191422592	0.175613412	0.549359325	3.658209297	0.591178188	0.602002448	0.199064847	1.086921757	0.557566792	0.675204526	0.194781386	3.250293386	1.120677212	0.811750767	0.032618986	0.068487504	0.08283181	0.086893407
FUS	3.161127592	2.640418756	2.899886726	2.413311965	4.264856865	4.474988583	3.912023836	5.378860842	6.622882933	6.124208763	4.565702029	5.936891935	6.050588227	5.114979656	4.848991285	6.844647399	6.172170669	15.91733073	5.569354025	1.013014009	5.307342995	5.043088846	4.560302809
FUT1	0.009623642	0	0.075418094	0	0	0	0.0119904	0	0	0.002026676	0.00273919	0.013182316	0.0058735	0	0	0	0	0	0	0.003713356	0.000334449	0	0
FUT10	0.043681925	0.041279605	0.047437923	0	0	0	0.029885735	0.106733949	0.103625068	0.048874056	0.062187826	0.096265878	0.167089819	0	0.047219062	0.071450017	0.086072231	0	0.006414283	0.028831563	0.027926417	0.082475111	0.027375146
FUT11	0.269575821	0.049644582	0.108570654	0.558370769	0.082359662	0.048107712	0.098409305	0.232530448	0.176644671	0.178290547	0.174146478	0.200424362	0.193617702	0.240839769	0.217721868	0.187477914	0.287043957	0.303802692	0.344232488	0.023026865	0.137845735	0.064649519	0.017499497
FUT2	0.010061358	0.025192933	0.014177818	0.014827126	0	0	0.003950358	0.024470282	0	0.002021348	0.013970736	0.024147546	0.010610599	0	0.021031644	0.021478198	0.043586718	0.006977837	0	0.004060318	0.024976671	0.016800875	0.003676418
FUT3	0.000704942	0.012904917	0.009962581	0	0	0	0.015323751	0	0	0	0.002000397	0.004501617	0.01302445	0	0.0822821	0.007936324	0.009370503	0.013081767	0.052101044	0.009099232	0.016676837	0	0
FUT4	0.071018309	0.057536726	0.102347573	0.167226505	0.034409027	0	0.034998315	0	0	0.020670875	0.026622547	0.076676285	0.042443577	0.039012641	0.035063452	0.059751057	0.011477458	0.156767727	0	0.005126595	0.020130585	0	0.004759012
FUT6	0.002249859	0	0.006664562	0	0	0	0	0.14450463	0	0	0	0	0	0	0.032236276	0.004172118	0	0	0	0.006336946	0.011024226	0	0.016748879
FUT7	0.00894455	0.020434806	0.048898096	0.098236135	0	0	0	0.105530228	0	0.005026149	0.030920881	0.047909222	0.118076403	0	0.03709089	0.028921782	0.004743083	0.009222659	0	0.012337563	0.22658322	0.027893099	0.188267056
FUT8	0.097963742	0.291310648	0.076523526	0.020853872	0.115695832	0.347031152	0.050115385	0.205443133	0.16278268	0.26640102	0.195047113	0.25640693	0.279490277	0.343856667	0.15136057	0.263631056	0.586572045	0.312931167	0.397976678	0.27208885	0.461715243	0.363130134	0.303286338
FUZ	0.232444326	0.171932791	0.132160034	0.193757434	0.49299933	0.70286351	0.354601481	0.274729899	0.264797627	0.179057139	0.177095054	0.104656281	0.259706567	0.085141151	0.284294763	0.155806579	0.033274472	0.198016931	0.147190432	0.103196639	0.144328454	0.362099906	0.33859777
FXN	0.525753196	0.248317218	0.572191509	0.731837272	1.004358256	0.625388	0.619913823	1.351262586	0.532332437	0.69798983	0.836660364	0.545003842	0.566716966	0.554353327	0.598862987	0.638482949	0.706214416	0.684187593	1.78145556	0.307954622	0.405016442	0.122824238	0.706932042
FXR1	0.669764986	0.621167429	0.777831344	0.583723479	1.242452697	1.816325186	0.501094075	1.227872054	0.98424518	0.858150847	0.807830481	0.954223274	0.907558782	1.374381464	0.890955348	0.814517211	0.805352154	1.887605606	1.144684133	0.266831801	0.896288636	1.753576468	0.957623812
FXR2	0.038920387	0.057151859	0.076513667	0.046701305	0.074565692	0.360691518	0.033060283	0.064599654	0.044258476	0.05055202	0.158262866	0.09501051	0.072282498	0.304762295	0.11359033	0.113277029	0.192721766	0.325945559	0.290161727	0.036173397	0.123341379	0.216195107	0.14969505
FXYD1	0.010624193	0.023762334	0.026816639	0	0.071857943	0	0	0.019813961	1.180319239	0.049519909	0.079378773	0.093619191	0.102716576	0.160312784	0.046224136	0.005616763	0	0	0.006611943	0.003300732	0.064821096	0	0.045229943
FXYD2	0.161656634	0	0.006791822	0.074311521	0	0	0.054562254	0.035221303	0	0.05068707	0.02111626	0.121553678	0.049741462	0.269744774	0.073036299	0.350679562	0	0.181763535	0.236870365	0.003145893	0.043223518	0.053128985	0.004929961
FXYD3	0.781786392	0.087072882	0.167635692	0.336481899	0.356101832	3.955266313	0.092380681	1.004240907	0.216781556	0.192915812	0.153599618	1.028986095	0.361371849	0.547780826	3.325689249	0.257128606	1.06887204	4.126400648	0.465811895	0.206664019	0.623009125	0.279303319	0.592596813
FXYD5	8.189960385	3.860532036	9.958233649	9.070882957	26.7064162	38.73270982	11.72000252	15.13297052	72.11096612	20.36496223	23.63264254	30.35348462	23.5272068	33.10185402	12.47532028	13.75704841	12.22556203	15.72022743	10.61946964	3.364396807	13.32931276	3.381575851	3.253827051
FXYD6	0.231037448	0	0.059354238	0.328342422	0.047618672	0	0.163644777	0	0	0.010465882	0.005689037	0.002651036	0	0	0	0.026584476	0	0	0.00339545	0.006456804	0.003301627	0	0.015375902
FXYD7	0	0	0.006585536	0	0.042198234	0	0	0.025834051	1.665471393	0.099902328	0.099779415	0.284819412	0.079998579	0.097349844	0.059291121	0.116585189	0	0.205375717	0	0.012400513	0.073401261	0.018032845	0.022869946
FYB	3.192225558	0.256386469	2.799596114	4.675975023	0.398717632	0.23793909	1.313200228	4.002340527	1.076131133	8.714398422	9.743689889	12.74629825	10.91325394	12.52701582	5.06813155	8.561480273	11.91538517	11.40844537	7.97943451	0.022118143	0.04737219	0	0.095382578
FYCO1	0.022188985	0.045763306	0.005252067	0.02858624	0.005142693	0.280019575	0.010589983	0.172089683	0.639674497	0.143681194	0.116921837	0.067997016	0.116110855	0.01980388	0.07251631	0.277103362	0.17809839	0.116412363	0.096094791	0.013246384	0.025410424	0.055977858	0.005802058
FYN	0.044717641	0.676918734	0.418941739	0.383101327	0.601981562	0.497773773	0.155567174	5.815438294	2.742657978	4.040311694	3.739511023	5.718667795	6.327308228	6.388091103	6.653550489	8.053174556	5.806126296	9.255806237	4.755721309	0.033149574	0.206253868	0.350749381	0.082016595
FYTTD1	0.437151579	0.383563963	0.40662848	0.69847694	1.197440266	1.065200307	0.59674563	1.436207317	2.208324417	0.998572808	1.139096058	1.044484724	0.923607914	1.35039495	1.275891871	0.884862143	0.692025435	1.277366852	0.63173242	0.325325849	0.931166422	1.407189301	0.775171593
FZD1	0.049951898	0	0.117744875	0.254639854	0.138578011	0	0.119118243	0	0	0	0.003882186	0.008970395	0	0	0	0	0.017351543	0	0.010953307	0.009005742	0.001796325	0	0.059216749
FZD2	0.19727997	0.072497633	0.194094942	0.13796411	0.030717274	0.404058719	0.144244008	0	0	0	0	0	0	0	0	0	0	0	0	0.005479453	0.014325785	0	0.003857165
FZD3	0.060868829	0.17662893	0.077140641	0.105088044	0.178658679	0	0.02898314	0	0.239873534	0.063276667	0.059455004	0.198230917	0.050227085	0.964127915	0.061121559	0.082783302	0.182350351	0.081074385	0.110526154	0.081985503	0.062391638	0.281558377	0.071145457
FZD4	0.00295325	0	0.002696046	0	0	0	0	0	0	0.001699879	0	0.034271782	0	0	0	0.012532479	0	0	0	0.002070757	0.00043894	0	0.001394747
FZD5	0.086925515	0.11419202	0.021135794	0.009253732	0.049321337	0.043870255	0.079725886	0.127985166	0.136294241	0.006635186	0.015354546	0.063050154	0	0	0.025711755	0.013907368	0	0.006977837	0.092591772	0.013989004	0.037713005	0.019097723	0.021930835
FZD6	0.005173129	0	0.003682882	0	0	0	0	0.14269178	0.135234047	0.023378691	0.002268263	0.010164442	0.042590884	0	0	0.040907429	0	0	0.0123476	0.040455635	0.033486194	0.015446806	0.008505831
FZD7	0.00517246	0	0.005975102	0	0.031352268	0.204615196	0	0.121160274	0	0.023303984	0.018579007	0.028646694	0	0	0.00397951	0.002796656	0	0.011251203	0	0.010380828	0	0	0
FZD8	0.000932991	0	0	0	0	0	0	0	0	0.014006622	0.002474735	0	0	0	0.002147127	0	0	0	0	0.001016954	0	0	0
FZR1	0.071157463	0.082566726	0.085199923	0.22100648	0.143859989	0.231406893	0.294634263	0.486419571	0.235249824	0.229675829	0.23984415	0.234589353	0.35844665	0.133443175	0.337207964	0.373675908	0.289159858	0.5614935	0.33776904	0.077163198	0.276103537	0.46548659	0.140345761
G0S2	6.92437834	38.3589926	36.78935269	236.0043057	1.166146205	0.018713612	9.671472014	0.05411983	2.327728067	0.14338781	0.048088119	0.076386982	0.305634664	0.15879126	0.033528961	0.051967075	0.041974678	0	0.043629911	1.321057796	0.416783247	0.350194983	0.424354898
G2E3	0.084201208	0.016713473	0.081801793	0.039120779	0.225834772	0.694978553	0.065016539	0.185114535	0.353436184	0.381676724	0.296473867	0.232426003	0.244886444	0.350620354	0.398988136	0.277991468	0.557592006	0.415891657	0.378772046	0.038266361	0.307669634	0.263551771	0.350777404
G3BP1	1.112207316	0.79723822	0.783908835	1.205838018	2.505384658	2.717773605	1.170433148	1.822680467	2.523016055	1.872176794	1.912182494	1.89354336	2.161452548	2.23751517	1.46527213	1.847755546	2.097090083	3.326917909	1.785191613	0.354519286	1.557626737	2.021942424	2.424924489
G3BP2	0.607020712	2.367231525	0.588063297	0.967491089	1.394251141	0.642402688	0.690349759	3.031411124	4.384372552	3.740575425	3.420152184	3.146768186	5.621467822	2.528436942	2.069375881	3.243786038	4.253363175	4.261929665	1.833370921	0.306897633	1.611768147	1.661333682	0.721014644
G6PC3	0.705454175	0.814137023	0.611813776	0.51307553	0.324737874	0.199046323	0.729287087	0.854082818	1.075962388	0.149273116	0.186110588	0.221540074	0.363868907	0.498428704	0.300192642	0.235111965	0.705448614	0.526829981	0.333824157	0.229261569	0.281410534	0.673996825	0.298050782
G6PD	0.499002019	0.181632209	0.380814947	0.485258927	0.79344839	0.680469303	0.27895183	1.898168967	1.49024869	0.404697521	0.374489806	0.552789417	0.662128606	0.426306474	0.801703697	0.914280572	0.778874221	0.956125354	1.02217911	0.096009965	0.493709725	0.516436886	0.671163737
GAA	1.577044793	0.377296376	0.424496856	0.543631478	0.06025999	0.052137726	1.151653364	0.062413144	0.111480279	0.152728157	0.093542624	0.08299365	0.174419142	0.061005798	0.144165741	0.151306441	0.112625609	0.248384843	0.087214241	0.061383736	0.098900731	0.045825818	0.100578446
GAB1	0.041231148	0	0.029726752	0.012240987	0.06032184	0	0.04733918	0.113295635	0.110954452	0.016899748	0	0.012186457	0.013706617	0	0	0.007740985	0	0	0.038895329	0.120710177	0.055346524	0.015392821	0.025234607
GAB2	0.359889939	0.025490572	0.120693956	0.391990792	0.099365576	0.065835005	0.334806528	0.030799751	0	0.019894301	0	0.025230206	0.018857682	0.061538186	0.009481352	0.012886794	0.053433002	0	0.028537156	0.020472795	0.03125215	0	0.025149057
GAB3	0.206140687	0.301730883	0.208745423	0.250805648	0.123290474	0.376341398	0.153093536	0.421500538	0.432187405	0.315349955	0.25670535	0.09734948	0.087398129	0.114356978	0.331550837	0.275636538	0.759795786	0.574075253	0.074206746	0.013890318	0.061722902	0.007053059	0.045497361
GABARAP	3.253130413	1.184130818	1.698361703	3.880416374	2.377809348	2.163585285	2.767807427	1.000795142	0.841617083	0.693422026	0.863688489	0.910429256	0.768925993	0.521601403	2.076944004	1.043527492	1.595180348	0.859529575	1.046260031	0.326511804	0.537936007	0.516474857	0.770244005
GABARAPL1	0.665594375	0.110846119	0.60994956	0.855622009	0.317051719	0.021191023	0.174258686	2.041453201	0.421921637	0.627713064	0.653206317	0.579254277	1.234504894	0.225407303	1.558500598	1.811435602	0.708957312	1.236506966	0.747108987	0.144902795	0.091289039	0.102807493	0.092571323
GABARAPL2	5.410904516	9.690190661	6.727357311	5.49949111	9.424895169	10.69928838	4.452679601	5.878238219	7.922580648	6.231341476	6.186086965	6.24782345	7.926936728	6.131081166	5.863429538	8.540535563	7.753411427	4.760093178	5.558014976	1.383189279	4.691994455	6.71547247	4.501079862
GABBR1	0.031833285	0.01542394	0.046189622	0.081175499	0.065751633	0	0.113126209	0.024066461	0	0.025446269	0.022972257	0.025759244	0.007060825	0	0	0.012916384	0	0.353208192	0	0.013881521	0.088698756	0.054706623	0.001375743
GABPA	0.121149297	0.049930836	0.153401371	0.04507291	0.511625483	0.481966992	0.01562357	0.328202418	0.261438178	0.232288056	0.251455529	0.18152642	0.256783834	0.089873851	0.213327539	0.287822213	0.336279088	0.196320419	0.125349813	0.066962053	0.218314515	0.630009412	0.21447211
GABPB1	0.053230165	0.27454849	0.228159045	0.396214977	0.836652351	1.323399387	0.897782501	0.72617374	0.210247616	0.436322223	0.347366249	0.427125373	0.908725006	0.616740765	0.508464863	0.481031571	0.830331194	0.561607437	0.590930125	0.13605118	0.410104365	0.923273909	0.693262185
GABPB1-AS1	0.137963815	0.148043029	0.265460792	0.289626857	1.094979615	0.365034703	0.238270369	2.177796234	0.886220241	1.572223093	1.257309799	1.585513776	1.291386906	1.468864748	1.14656157	1.38419045	2.233261273	4.166788511	1.147511583	0.198149023	1.758849591	1.638496736	0.318491053
GABPB2	0.198389257	0.104603775	0.119531199	0.007793783	0.138337505	0	0.064993992	0.280657117	0.076522409	0.229633919	0.218393718	0.336741662	0.223970979	0.251954106	0.258705471	0.25719546	0.409522324	0.710356702	0.4668021	0.036156076	0.167012329	0.078912182	0.121693849
GABRA2	0.001577943	0	0	0	0	0	0.007520482	0	0	0.00306668	0	0	0	0	0	0	0	0	0	0.001079616	0.001643303	0.013294355	0
GABRE	0.02737842	0	0.002100389	0.045487971	0	0.073533578	0.022211321	0	0	0.004614844	0.004474611	0.014445173	0	0	0	0.036018679	0	0	0	0.001254881	0.004933227	0	0.002384284
GADD45A	0.959335165	2.104465858	2.288464566	0.730520494	0.4875998	0.058699532	1.182570395	1.069543457	2.152211673	1.775471158	1.005768306	1.676399838	4.3684077	1.977871631	0.770415635	1.261836605	1.820336246	0.961038648	1.791742553	1.421546957	0.502953585	0.550303551	0.694110744
GADD45B	9.216402132	11.5363074	11.12325007	9.009887261	17.13784115	4.63170858	8.365142958	29.38093842	20.19194589	26.07282775	4.937886249	4.877395378	6.06827492	3.139587358	8.747749907	17.65018722	5.357913816	14.94882707	6.456977631	8.262262859	8.368955012	9.76643347	4.15685086
GADD45G	0.538729347	0.103969077	0.199778181	0.409259659	0.484514018	0.039849856	0.231894658	0.482706092	1.933156833	1.414272331	0.416117597	0.870814758	3.317683761	2.621465117	0.698770831	0.370530513	3.40801464	1.298436274	1.434420974	0.18001166	0.064936905	0.106678166	0.06108108
GADD45GIP1	7.156298182	2.9295353	3.752249768	6.529324678	6.094164189	5.541336724	4.399562808	6.159372947	4.952656129	4.536379502	5.536958789	4.854359583	5.189407518	5.589118022	6.17286973	5.607922052	3.694209285	4.603963219	5.621854334	2.19248015	4.393860455	4.090475558	4.362234536
GAK	0.813170303	0.392391647	0.508856174	0.496058502	0.222002513	0.124473229	0.584358314	0.840157536	0.454131095	0.438914226	0.438527808	0.334519793	0.649574515	0.570969113	0.747279349	0.547903569	0.707919573	1.65289849	0.442256736	0.09243692	0.413216572	0.347047792	0.094010362
GAL	0	0	0	0	0	0	0	0	0	0	0	0.01467284	0	0	0	0	0	0	0	0.001389403	0.003480423	0.019621978	0.00225748
GAL3ST4	0.572861566	0	0.030258846	0	0	0	0.25264017	0	0	0	0.006965979	0.066154713	0.009225343	0.005323019	0.006724414	0.005698875	0	0	0	0.00161898	0.003232818	0	0
GALC	0.184647029	0.392905792	0.107593187	0.146834643	1.211502844	1.135057152	0.181754024	0.170161496	0.654616012	0.213941979	0.200612125	0.130093182	0.401255059	0.103346912	0.346430137	0.154486383	0.188452529	0.299920255	0.158970098	0.042141828	0.091817546	0.082988763	0.016723657
GALE	0.433380514	0.321762048	0.128280808	0.095270265	0.270714228	0.793761082	0.330225647	0.907383383	0.810949074	0.348851078	0.149584762	0.213783396	0.225811379	0.155639676	0.82130531	0.131582804	0.220781197	0.689402293	0.462677751	0.055939791	0.131998107	0.073331603	0.224098348
GALK1	0.798410073	0.495782136	0.744057115	0.359536312	0.693104982	0.954338286	0.890672057	1.093419771	0.801437867	0.615942328	0.519021795	0.426219561	0.578569618	0.784055929	0.708155911	0.388108619	0.423909092	0.676520041	1.065470348	0.250137843	0.310409246	0.431616352	0.501820766
GALK2	0.550251934	0.176745278	0.214072182	0.199238049	0.634362417	0.975953195	0.121053265	0.588615117	0.5394908	0.628056894	0.384152193	0.497028077	0.55537935	0.540148687	0.504889042	0.555026374	0.484922031	0.293397649	0.427133657	0.24743833	0.296516336	0.488004705	0.215055746
GALM	1.571697468	0.08724505	0.5134602	0.115201128	0.304164569	0.107748916	1.782813158	0.170989835	0.675577827	1.756212752	1.380611999	1.352480627	3.241284267	1.456287677	1.404429555	1.670411035	3.360371436	2.785878388	2.158502772	0.115135468	0.245075521	0.224047356	0.184105086
GALNS	0.123678705	0.082923325	0.18762608	0.399057262	0.055920904	0.204546808	0.110111675	0.208902095	0.083058429	0.126134783	0.116962476	0.152380527	0.227361227	0.191240973	0.097093815	0.198157348	0.124714888	0	0.046862589	0.027484924	0.157600286	0.101869652	0.13548146
GALNT1	0.913548069	0.063606356	0.313797869	0.250129645	0.522759164	0.648937056	0.422025362	0.559396222	0.383150796	0.196597437	0.234913038	0.24373986	0.185301692	0.813834225	0.479654856	0.45517269	0.260700515	0.831306246	0.287442877	0.07100583	0.231706237	0.1448504	0.128145202
GALNT10	0.129694444	0.149020504	0.138564795	0.097665095	0.073560655	0	0.335966058	0.312498853	0.218937967	0.415563475	0.499070109	0.261074665	0.564224783	0.282831294	0.36809427	0.2950535	0.540980739	0.693097016	0.383659369	0.026448265	0.253175116	0.093155923	0.042048323
GALNT11	0.14392113	0.107331187	0.151879878	0.165618178	1.144871347	1.064896137	0.132428377	0.287277922	2.551975911	0.607227952	0.532353869	0.561500836	0.354137323	0.380770626	0.492534976	0.743793551	0.634471017	0.250780254	0.331699348	0.063479053	0.286587965	0.017048303	0.067612618
GALNT12	0.019180813	0	0.001157773	0	0.049733435	0	0.020830648	0.030333388	0	0.029876742	0.029577143	0.025122498	0.002934568	0	0.081891736	0.020720199	0	0.258796203	0.038405688	0.010442561	0.003484465	0	0.002378696
GALNT14	0	0	0	0	0	0	0	0	0	0	0	0.00536649	0	0	0	0	0	0	0	0.000339027	0.001659103	0.021132616	0.063018406
GALNT18	0.033376817	0	0	0	0.005588833	0	0	0	0	0.010205762	0	0.010385503	0.006878547	0	0	0	0.031673453	0	0	0.000879607	0	0	0
GALNT2	0.453645113	0.534547371	0.233577934	0.601485373	0.372937947	0.701564211	0.545981974	0.08032634	0.061666968	0.147834734	0.189002392	0.279879102	0.330027538	0.676665965	0.379746385	0.306216895	0.407364505	0.387319907	0.420172196	0.331340729	0.590797437	0.350515977	0.180715649
GALNT3	0.011765302	0	0.074204751	0.064223526	0.637053767	0.326634703	0.008453089	0.537455427	0	0.047445891	0.050504224	0.044346521	0.127115238	0.015611464	0.085705525	0.048643291	0.103259743	0	0.009860744	0.098424052	0.200515622	0.040404868	0.05470954
GALNT5	0	0	0.002992645	0	0	0	0.147471727	0	0	0	0	0.003668114	0	0	0.013720159	0	0	0	0	0.00064385	0	0	0
GALNT6	0.299539333	0.102940229	0.141883439	0.438532543	1.511205386	2.383825098	0.346023234	0.093243792	0.059115251	0.295960813	0.215522084	0.112694161	0.238804524	0.030030549	0.397662021	0.227189642	0.22432732	0.870467776	0.761322699	0.029136239	0.416922672	0.649575147	0.285854753
GALNT7	0.09604525	0.087058947	0.053152717	0.166886937	0.022856537	0.25796486	0.110189093	0.166676297	0.059115251	0.145317787	0.086992278	0.09882867	0.188646183	0.245531702	0.157665502	0.104128579	0.127513397	0.270210533	0.012353355	0.013696251	0.19371356	0.127768751	0.033415394
GALR2	0.03012893	0	0.230969713	0.027101449	0.037293883	0	0.034008167	0.039770186	0.02485477	0.003926942	0.015609728	0.016632675	0.036849819	0.067206631	0	0.044388477	0	0	0.026809885	0.003780563	0.011303591	0	0.005016916
GALT	0.402147696	0.265411275	0.324122928	0.451748889	0.805645435	0.921865978	0.332331775	1.208454587	1.905428634	1.256775178	1.172690979	1.220908463	0.902667931	0.876327017	1.040719627	1.129014024	0.733231397	1.653889699	0.378818154	0.143062452	0.675816984	0.582281805	0.318093305
GAMT	0.609608162	0.378093215	0.134329541	0	0.689788596	0.249226748	0.484885042	0.784710335	1.227849677	0.448392774	0.449121679	0.769615671	0.402680397	0.416976831	0.448508221	0.642638941	0.541205818	0.168039558	0.603957312	0.237945673	0.343315791	0.198284366	0.685168175
GAN	0.060208795	0.013108603	0.044718637	0.044374109	0.042359864	0.098033266	0.015218192	0.038351388	0.084707082	0.150993834	0.135865185	0.133033282	0.103968287	0.119280099	0.062350638	0.133687514	0.136829286	0.227218876	0.062416783	0.02123526	0.066402001	0.154649363	0.04498202
GANAB	0.557082778	0.265894332	0.236112618	0.565343767	0.504867664	1.223683654	0.520762506	0.501952429	0.777161424	0.400477494	0.333680251	0.384704768	0.370963407	0.540898078	0.40834229	0.552932953	0.284940512	1.195614494	0.983871041	0.260888119	0.321223125	0.144433751	0.240763078
GANC	0.158384611	0.213883319	0.235455815	0.035938282	0.098456955	0.094823463	0.120694525	0.185193915	0	0.083755695	0.083351984	0.101149804	0.144483588	0.261513533	0.142165892	0.181025346	0.147041226	0	0.096837621	0.054772372	0.195229563	0.022601169	0.064299913
GAPDH	76.4506809	90.55221085	78.81946242	99.39571024	39.26747599	84.35293963	135.5155571	92.94353801	90.59093996	73.5881387	67.2151013	58.80766701	108.3937994	109.9103235	204.8793116	79.74737723	134.7213134	64.93788197	251.829755	11.51102098	33.0153747	127.4575978	223.9834561
GAPT	0.379454065	0	1.367145366	0.964199582	2.918849532	3.541702752	0.71360957	0.139015581	0.131340926	0.015043425	0	0.10798451	0	0.071860312	0	0.003182139	0	0	0	0.04232057	3.674819863	1.320101612	0.43230545
GAPVD1	0.243387876	0.100122521	0.326238704	0.214930151	0.282738442	0.206288907	0.091830002	0.651603751	0.348896054	0.291943154	0.377135533	0.342220869	0.463837495	0.270015786	0.290574982	0.398137742	0.857037949	1.249697994	0.32437351	0.07251732	0.339051367	0.372052878	0.117845687
GAR1	0.365265208	0.515342401	0.441733546	0.210966484	0.832060458	0.598772997	0.524311574	0.439599788	1.021693966	0.548114357	0.744091649	0.636487066	0.624913069	0.442470715	0.681385916	0.520658875	0.938864547	0.508903282	0.51594597	0.18373801	0.459799013	0.477759771	0.455244496
GAREM	0.021876395	0	0	0	0	0	0.018338334	0	0	0	0	0	0	0	0	0.005143558	0	0.037447906	0	0.002600904	0.005846899	0	0.00350433
GAREML	0.009508908	0.011471887	0.004434211	0	0	0	0.021911151	0.087665581	0	0.026918884	0.012663563	0.048258763	0.07006652	0.274266479	0.014039063	0.026978274	0.063229762	0	0.029676769	0.002367099	0.005234129	0.017373794	0
GARNL3	0.008871829	0	0.005975102	0	0	0	0	0	0	0	0.006100433	0	0	0	0	0	0	0	0	0.002841926	0	0.009477817	0
GARS	0.403853107	0.71640512	0.414824995	0.633939973	0.341529734	0.607850255	0.324847673	0.426285659	0.750322142	0.79466849	0.737364711	0.99932363	0.953770567	1.601565885	0.53240595	0.667817724	0.711324658	1.028130057	1.05301552	0.459370224	0.609800298	0.830227532	1.215064297
GART	0.134432459	0.225402689	0.231111948	0.307000714	0.381125637	0.533656127	0.387306626	0.72320774	0.591677649	0.398345732	0.317209191	0.67301219	0.668566541	0.534440241	0.76457608	0.457334251	0.381174894	0.781609754	1.054252928	0.086321348	0.538788794	0.704977636	0.60995631
GAS1	0	0	0	0	0	0	0	0.016893503	0	0	0	0.004155163	0	0	0	0	0	0	0	0.002624456	0	0	0
GAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007090136	0.002837171	0	0.002127293
GAS2L1	0.275791607	0.054068383	0.284840281	0.283309466	0	0.043431387	0.138458129	0	0.137885582	0.072804075	0.108092151	0.004413669	0	0.065030179	0.074126668	0.043100801	0.27537501	0.161496013	0.029660643	0.004535789	0.004479101	0	0.001425692
GAS2L3	0.171293055	0.172042917	0.048047593	0.032446716	0.032221653	0	0.449685021	0	0	0.003057177	0	0	0	0	0	0	0	0	0.018881818	0.000608999	0	0	0.022400463
